GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020300003,406,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,8,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,154,13,1,1,20031028,LAL,DAL
Shot Chart Detail,0020300003,409,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,8,10,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20031028,LAL,DAL
Shot Chart Detail,0020300003,469,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,2,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20031028,LAL,DAL
Shot Chart Detail,0020300013,381,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,8,44,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,5,86,1,1,20031029,GSW,DAL
Shot Chart Detail,0020300013,384,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,8,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,6,174,1,0,20031029,GSW,DAL
Shot Chart Detail,0020300013,431,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,2,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,31,1,0,20031029,GSW,DAL
Shot Chart Detail,0020300013,437,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,2,9,Missed Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,76,1,0,20031029,GSW,DAL
Shot Chart Detail,0020300033,175,2059,Eduardo Najera,1610612742,Dallas Mavericks,2,6,14,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,84,97,1,1,20031101,DAL,UTA
Shot Chart Detail,0020300045,261,2059,Eduardo Najera,1610612742,Dallas Mavericks,3,4,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031103,DAL,MIA
Shot Chart Detail,0020300053,443,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,4,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-172,-34,1,1,20031105,WAS,DAL
Shot Chart Detail,0020300053,451,2059,Eduardo Najera,1610612742,Dallas Mavericks,4,2,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-179,-3,1,0,20031105,WAS,DAL
Shot Chart Detail,0020300063,15,2059,Eduardo Najera,1610612742,Dallas Mavericks,1,10,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031106,TOR,DAL
Shot Chart Detail,0020300063,34,2059,Eduardo Najera,1610612742,Dallas Mavericks,1,7,44,Missed Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,54,1,0,20031106,TOR,DAL
Shot Chart Detail,0020300063,39,2059,Eduardo Najera,1610612742,Dallas Mavericks,1,6,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20031106,TOR,DAL
Shot Chart Detail,0020300063,51,2059,Eduardo Najera,1610612742,Dallas Mavericks,1,5,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031106,TOR,DAL
Shot Chart Detail,0020300063,265,2059,Eduardo Najera,1610612742,Dallas Mavericks,3,8,44,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20031106,TOR,DAL
Shot Chart Detail,0020300063,268,2059,Eduardo Najera,1610612742,Dallas Mavericks,3,8,18,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,44,28,1,1,20031106,TOR,DAL
Shot Chart Detail,0020300063,292,2059,Eduardo Najera,1610612742,Dallas Mavericks,3,5,7,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20031106,TOR,DAL
