GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041200171,5,2216,Zach Randolph,1610612763,Memphis Grizzlies,1,11,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,108,203,1,0,20130420,LAC,MEM
Shot Chart Detail,0041200171,39,2216,Zach Randolph,1610612763,Memphis Grizzlies,1,7,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,23,1,1,20130420,LAC,MEM
Shot Chart Detail,0041200171,146,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,9,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,28,1,1,20130420,LAC,MEM
Shot Chart Detail,0041200171,171,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,7,52,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,6,85,1,1,20130420,LAC,MEM
Shot Chart Detail,0041200171,179,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,5,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,119,121,1,0,20130420,LAC,MEM
Shot Chart Detail,0041200171,193,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,5,21,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,19,1,1,20130420,LAC,MEM
Shot Chart Detail,0041200171,207,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,3,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-136,61,1,0,20130420,LAC,MEM
Shot Chart Detail,0041200171,268,2216,Zach Randolph,1610612763,Memphis Grizzlies,3,10,42,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,34,1,1,20130420,LAC,MEM
Shot Chart Detail,0041200171,279,2216,Zach Randolph,1610612763,Memphis Grizzlies,3,8,36,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,25,1,1,20130420,LAC,MEM
Shot Chart Detail,0041200171,294,2216,Zach Randolph,1610612763,Memphis Grizzlies,3,6,40,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,9,1,0,20130420,LAC,MEM
