GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,42400111,17,201950,Jrue Holiday,1610612738,Boston Celtics,1,10,45,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-179,191,1,0,20250420,0,BOS,ORL
Shot Chart Detail,42400111,69,201950,Jrue Holiday,1610612738,Boston Celtics,1,4,55,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,26,1,0,20250420,0,BOS,ORL
Shot Chart Detail,42400111,115,201950,Jrue Holiday,1610612738,Boston Celtics,1,2,15,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-82,43,1,0,20250420,0,BOS,ORL
Shot Chart Detail,42400111,326,201950,Jrue Holiday,1610612738,Boston Celtics,3,9,54,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,36,253,1,1,20250420,0,BOS,ORL
Shot Chart Detail,42400111,358,201950,Jrue Holiday,1610612738,Boston Celtics,3,7,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,135,210,1,1,20250420,0,BOS,ORL
Shot Chart Detail,42400111,391,201950,Jrue Holiday,1610612738,Boston Celtics,3,5,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,28,250,1,1,20250420,1,BOS,ORL
Shot Chart Detail,42400112,14,201950,Jrue Holiday,1610612738,Boston Celtics,1,10,48,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-125,235,1,0,20250423,0,BOS,ORL
Shot Chart Detail,42400112,20,201950,Jrue Holiday,1610612738,Boston Celtics,1,10,15,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,27,53,1,0,20250423,0,BOS,ORL
Shot Chart Detail,42400112,41,201950,Jrue Holiday,1610612738,Boston Celtics,1,8,16,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,11,1,0,20250423,0,BOS,ORL
Shot Chart Detail,42400112,200,201950,Jrue Holiday,1610612738,Boston Celtics,2,8,38,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,34,27,1,1,20250423,0,BOS,ORL
Shot Chart Detail,42400112,238,201950,Jrue Holiday,1610612738,Boston Celtics,2,6,0,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,10,1,1,20250423,1,BOS,ORL
Shot Chart Detail,42400112,354,201950,Jrue Holiday,1610612738,Boston Celtics,3,10,7,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-93,255,1,0,20250423,0,BOS,ORL
Shot Chart Detail,42400112,396,201950,Jrue Holiday,1610612738,Boston Celtics,3,5,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,9,1,1,20250423,1,BOS,ORL
