PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,DEF_RATING_RANK,PIE,FGM_PG,FGA_PG,E_OFF_RATING,DREB_PCT_RANK,E_DEF_RATING,PACE_RANK,PACE,E_NET_RATING_RANK,EFG_PCT,sp_work_OFF_RATING,OFF_RATING_RANK,sp_work_NET_RATING,USG_PCT_RANK,AST_PCT_RANK,POSS,sp_work_PACE_RANK,sp_work_NET_RATING_RANK,DEF_RATING,sp_work_DEF_RATING_RANK,DREB_PCT,E_TOV_PCT_RANK,sp_work_PACE,sp_work_DEF_RATING,REB_PCT,USG_PCT,AST_RATIO,NET_RATING,AST_TO_RANK,E_PACE,EFG_PCT_RANK,FGM_PG_RANK,REB_PCT_RANK,E_TOV_PCT,AST_RATIO_RANK,PACE_PER40,PIE_RANK,AST_PCT,OREB_PCT,TM_TOV_PCT_RANK,TS_PCT_RANK,AST_TO,OFF_RATING,E_USG_PCT_RANK,E_USG_PCT,E_DEF_RATING_RANK,OREB_PCT_RANK,NET_RATING_RANK,E_PACE_RANK,TS_PCT,sp_work_OFF_RATING_RANK,TM_TOV_PCT,FGA_PG_RANK,E_NET_RATING,E_OFF_RATING_RANK,BACKCOURT_FG_PCT,LEFT_CORNER_3_FG_PCT,MID_FGM,RA_FG_PCT,CORNER_3_FGA,RA_FGA,ITP_FGA,MID_FGA,ABOVE_BREAK_3_FGM,ABOVE_BREAK_3_FGA,MID_FG_PCT,CORNER_3_FG_PCT,RA_FGM,RIGHT_CORNER_3_FG_PCT,BACKCOURT_FGA,RIGHT_CORNER_3_FGM,CORNER_3_FGM,BACKCOURT_FGM,ITP_FG_PCT,ITP_FGM,ABOVE_BREAK_3_FG_PCT,RIGHT_CORNER_3_FGA,LEFT_CORNER_3_FGM,LEFT_CORNER_3_FGA,FGM_35_39,FGM_10_14,FGP_20_24,FGA_15_19,FGM_20_24,FGM_40_PLUS,FGP_15_19,FGP_35_39,FGP_25_29,FGA_30_34,FGM_LT_5,FGA_LT_5,FGA_20_24,FGP_30_34,TEAM_ABBR,FGM_30_34,FGP_LT_5,FGM_15_19,FGP_40_PLUS,FGA_10_14,FGA_25_29,FGP_10_14,FGA_5_9,FGA_35_39,FGP_5_9,FGA_40_PLUS,FGM_5_9,FGM_25_29,year,date,PASSES_MADE,AST_TO_PASS_PCT,PASSES_RECEIVED,FT_AST,AST_PTS_CREATED,POTENTIAL_AST,AST_TO_PASS_PCT_ADJ,SECONDARY_AST,AST_ADJ,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_FTM,DRIVES,DRIVE_PASSES_PCT,DRIVE_TOV,DRIVE_AST_PCT,DRIVE_FT_PCT,DRIVE_PF_PCT,DRIVE_FG_PCT,DRIVE_FGM,DRIVE_PASSES,DRIVE_FGA,DRIVE_FTA,DRIVE_PTS,DRIVE_AST,DRIVE_PTS_PCT,TOUCHES,PTS_PER_POST_TOUCH,FRONT_CT_TOUCHES,ELBOW_TOUCHES,POINTS,PAINT_TOUCHES,PTS_PER_PAINT_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_ELBOW_TOUCH,AVG_SEC_PER_TOUCH,POST_TOUCHES,TIME_OF_POSS,PTS_PER_TOUCH,REB_CHANCE_PCT,OREB_CONTEST,AVG_OREB_DIST,OREB_CONTEST_PCT,OREB_CHANCES,REB_CONTEST_PCT,REB_CHANCE_DEFER,DREB_CONTEST_PCT,DREB_CHANCE_PCT,AVG_REB_DIST,AVG_DREB_DIST,REB_CONTEST,DREB_CHANCE_PCT_ADJ,DREB_CHANCE_DEFER,REB_UNCONTEST,DREB_CONTEST,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,DREB_CHANCES,OREB_UNCONTEST,REB_CHANCE_PCT_ADJ,OREB_CHANCE_PCT_ADJ,DREB_UNCONTEST,REB_CHANCES,very_tight_FG2A_FREQUENCY,very_tight_EFG_PCT,very_tight_FG3A_FREQUENCY,very_tight_FG3A,very_tight_FGM,very_tight_FG2_PCT,PLAYER_LAST_TEAM_ABBREVIATION,very_tight_FGA,very_tight_FG3_PCT,very_tight_FG3M,very_tight_FG2M,G,PLAYER_LAST_TEAM_ID,very_tight_FG2A,very_tight_FGA_FREQUENCY,very_tight_FG_PCT,tight_FGA,tight_FGA_FREQUENCY,tight_FG2_PCT,tight_FG2A_FREQUENCY,tight_FG2A,tight_EFG_PCT,tight_FG3A,tight_FG3_PCT,tight_FGM,tight_FG3M,tight_FG_PCT,tight_FG3A_FREQUENCY,tight_FG2M,open_FGA_FREQUENCY,open_FG3A,open_FGA,open_FG2M,open_EFG_PCT,open_FG2A,open_FG3A_FREQUENCY,open_FG_PCT,open_FG3_PCT,open_FG2_PCT,open_FGM,open_FG3M,open_FG2A_FREQUENCY,wide_open_FG2A,wide_open_FG_PCT,wide_open_FG3A,wide_open_EFG_PCT,wide_open_FG2M,wide_open_FG3M,wide_open_FG2A_FREQUENCY,wide_open_FG3A_FREQUENCY,wide_open_FGM,wide_open_FGA_FREQUENCY,wide_open_FG3_PCT,wide_open_FGA,wide_open_FG2_PCT,PULL_UP_FG3M,PULL_UP_FGM,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PULL_UP_FGA,PULL_UP_EFG_PCT,EFF_FG_PCT,CATCH_SHOOT_FG_PCT,POST_TOUCH_FG_PCT,ELBOW_TOUCH_FG_PCT,POST_TOUCH_PTS,PAINT_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,PAINT_TOUCH_PTS,CATCH_SHOOT_PTS,NS_LT_06_PCT,FGM_LT_06,LT_06_PCT,FREQ,PLAYER_POSITION,FGA_LT_06,PLUSMINUS,CATCH_SHOOT_FG3A,CATCH_SHOOT_FGM,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_FGA,CATCH_SHOOT_EFG_PCT,CATCH_SHOOT_FG3M,HTM,VTM,opp_team,team,opp_id,series_key
988,Randy Livingston,Randy,1610612745,HOU,22.0,1,1,0,1.0,10.616666666666667,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,2,1,0,0,0,1,0,3,3,5.0,0,0,6.0,1,1,1,1,67,58,67,33,15,38,1,45,49,45,48,72,79,28,20,33,21,1,18,38,61,33,71,11,1,67,71,0.037,1.0,2.0,130.5,72,132.5,5,106.25,50,0.75,137.5,7,7.1,79,20,24,5,39,130.4,71,0.0,80,106.25,130.4,0.0,0.094,40.0,7.1,13,108.33,14,58,79,20.0,6,88.54,63,0.222,0.0,79,16,2.0,137.5,80,0.093,76,48,39,3,0.75,7,20.0,67,-2.0,11,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,1.0,,0.0,0.0,,0.0,1.0,0.0,1.0,,0.0,,,,0.0,0.0,1.0,,HOU,,0.0,0.0,,0.0,,0.0,1.0,,0.0,,0.0,,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
9,Sedale Threatt,Sedale,1610612745,HOU,35.0,1,1,0,1.0,10.033333333333331,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,3,0,0,7,1.7,0,0,2.0,1,1,1,1,71,76,77,76,32,38,32,45,49,45,48,52,62,39,20,33,21,1,63,38,79,23,83,11,1,81,12,-0.14,0.0,1.0,112.7,48,83.0,23,90.9,16,0.0,115.8,36,36.8,82,38,19,23,11,78.9,12,0.071,85,90.9,78.9,0.048,0.083,33.3,36.8,19,89.94,76,76,60,33.3,11,75.75,86,0.143,0.0,85,79,1.0,115.8,81,0.089,15,48,11,30,0.0,36,33.3,77,29.7,41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,1.0,,HOU,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
970,Othella Harrington,Othella,1610612745,HOU,23.0,1,1,0,1.0,3.033333333333333,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,1,0,0,0,0,0,2,-4,2.2,0,0,3.0,1,1,1,1,82,76,84,76,32,51,32,18,23,1,48,52,62,66,20,33,21,1,1,38,65,59,81,11,1,76,85,0.093,0.0,0.0,147.9,6,188.2,1,118.68,73,0.0,125.0,22,-75.0,14,66,8,1,85,200.0,85,0.333,89,118.68,200.0,0.2,0.25,0.0,-75.0,41,112.35,76,76,6,53.2,66,98.9,48,0.0,0.0,87,3,0.0,125.0,7,0.278,85,48,85,1,1.136,22,50.0,84,-40.2,4,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,HOU,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
279,Charles Jones,Charles,1610612745,HOU,40.0,1,1,0,1.0,1.6833333333333331,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,0,1.0,1,1,1,1,85,76,84,76,32,51,32,45,49,45,48,72,79,39,48,33,21,1,1,38,79,46,84,11,1,84,85,0.059,0.0,0.0,277.8,72,200.0,4,114.06,2,0.0,200.0,2,0.0,86,4,4,4,48,200.0,85,0.0,1,114.06,200.0,0.0,0.0,100.0,0.0,41,98.09,76,76,79,0.0,1,95.05,57,0.5,0.0,1,79,0.0,200.0,86,0.0,87,48,48,9,0.0,2,0.0,84,77.8,1,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,HOU,,0.0,,,0.0,,0.0,,,,,,,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
1074,Matt Maloney,Matt,1610612745,HOU,25.0,1,1,0,1.0,29.03333333333333,5,11,0.455,4,7,0.571,0,0,0.0,0,1,1,6,0,0,0,0,2,0,14,12,24.2,0,0,25.0,1,1,1,1,31,19,26,44,2,4,12,45,49,45,48,52,62,6,48,33,21,1,36,38,19,15,31,11,1,26,24,0.127,5.0,11.0,115.1,70,99.6,49,86.8,33,0.636,123.1,26,25.0,51,8,52,49,25,98.1,24,0.033,1,86.8,98.1,0.016,0.175,35.3,25.0,41,89.11,25,19,78,0.0,10,72.33,36,0.333,0.0,1,31,0.0,123.1,50,0.179,25,48,25,43,0.636,26,0.0,26,15.5,37,,0.0,3.0,1.0,0.0,1.0,0.0,7.0,1.0,3.0,0.429,0.0,1.0,,,,0.0,,0.0,0.0,0.333,,0.0,0.0,,0.0,0.571,2.0,4.0,,0.0,,0.0,,1.0,1.0,7.0,,HOU,,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
672,Matt Bullard,Matt,1610612745,HOU,30.0,1,1,0,1.0,3.033333333333333,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,3,-4,4.2,0,0,5.0,1,1,1,1,82,58,77,1,15,38,1,45,49,45,48,52,62,66,48,33,21,1,18,38,61,59,73,11,1,71,85,0.14,1.0,1.0,147.9,6,188.2,1,118.68,73,1.5,125.0,22,-75.0,71,66,8,1,85,200.0,85,0.333,1,118.68,200.0,0.2,0.125,0.0,-75.0,41,112.35,1,58,6,0.0,66,98.9,27,0.0,0.0,1,1,0.0,125.0,65,0.148,85,48,85,1,1.5,22,0.0,77,-40.2,4,,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,1.0,,1.0,,,,,,0.0,0.0,1.0,,HOU,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
787,Charles Barkley,Charles,1610612745,HOU,34.0,1,1,0,1.0,31.116666666666667,4,7,0.571,1,1,1.0,6,10,0.6,3,8,11,2,2,0,0,2,3,0,15,25,29.2,1,0,29.0,1,1,1,1,25,29,40,23,15,38,1,2,1,35,8,5,5,28,11,33,21,81,63,38,14,4,24,1,1,17,21,0.138,4.0,7.0,126.0,16,95.7,56,85.61,15,0.643,141.8,4,47.2,38,51,55,56,9,94.6,21,0.229,65,85.61,94.6,0.169,0.203,12.5,47.2,19,90.49,24,29,12,13.0,49,71.34,28,0.083,0.1,63,26,1.0,141.8,42,0.194,21,20,9,26,0.658,4,12.5,40,30.3,22,,0.0,1.0,0.667,0.0,3.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.5,0.0,1.0,,0.0,,0.0,,2.0,3.0,2.0,,HOU,,0.667,0.0,,1.0,0.0,1.0,1.0,,0.0,,0.0,0.0,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
17,Clyde Drexler,Clyde,1610612745,HOU,35.0,1,1,0,1.0,32.916666666666664,4,13,0.308,0,4,0.0,0,0,0.0,2,8,10,8,1,0,0,1,1,0,8,21,31.0,0,0,26.0,1,1,1,1,20,29,12,64,32,12,32,45,49,45,16,5,9,3,20,33,21,65,18,38,40,6,19,11,1,25,27,0.131,4.0,13.0,121.6,17,100.5,50,86.76,26,0.308,133.3,11,33.3,48,8,60,50,17,100.0,27,0.222,44,86.76,100.0,0.143,0.177,36.4,33.3,1,90.79,66,29,20,4.5,9,72.3,31,0.333,0.059,43,69,8.0,133.3,49,0.18,27,33,17,25,0.308,11,4.5,12,21.1,26,,0.0,1.0,0.75,1.0,4.0,1.0,6.0,0.0,1.0,0.167,0.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,2.0,0.0,,0.5,,,,3.0,4.0,4.0,,HOU,,0.75,1.0,,2.0,,0.0,1.0,,0.0,,0.0,,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
698,Eddie Johnson,Eddie,1610612745,HOU,38.0,1,1,0,1.0,25.08333333333333,5,15,0.333,0,5,0.0,3,3,1.0,3,2,5,2,1,0,0,0,2,0,13,2,21.0,0,0,20.0,1,1,1,1,40,19,8,57,32,9,32,11,18,1,8,34,22,28,20,33,21,1,36,38,21,35,37,11,1,34,33,0.073,5.0,15.0,99.3,54,100.8,14,93.77,49,0.333,106.1,51,4.1,8,36,49,14,44,102.0,33,0.063,45,93.77,102.0,0.076,0.266,10.5,4.1,13,97.56,59,19,45,5.2,55,78.14,54,0.154,0.088,45,63,2.0,106.1,10,0.269,28,23,44,10,0.398,51,5.3,8,-1.5,60,,0.0,3.0,0.0,0.0,2.0,3.0,8.0,0.0,2.0,0.375,0.0,0.0,0.0,,0.0,0.0,,0.667,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,3.0,0.0,,0.667,,0.0,,0.0,2.0,6.0,,HOU,,0.0,2.0,,2.0,0.0,1.0,2.0,,0.5,,1.0,0.0,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
165,Hakeem Olajuwon,Hakeem,1610612745,HOU,34.0,1,1,0,1.0,34.81666666666667,7,13,0.538,0,0,0.0,4,5,0.8,5,6,11,1,4,1,2,1,4,0,18,9,37.7,1,0,36.0,1,1,1,1,17,11,12,29,32,51,32,6,9,28,3,11,5,39,1,9,6,65,78,38,12,21,9,1,1,9,42,0.107,7.0,13.0,115.6,23,113.8,40,87.54,40,0.538,125.4,21,16.0,24,63,63,40,33,109.4,42,0.182,79,87.54,109.4,0.153,0.235,5.0,16.0,39,89.53,35,11,17,19.8,64,72.95,44,0.045,0.128,79,37,0.25,125.4,24,0.236,54,8,33,37,0.592,21,20.0,12,1.8,35,,0.0,2.0,0.5,0.0,2.0,7.0,4.0,0.0,0.0,0.5,0.0,1.0,,,,0.0,,0.571,4.0,0.0,,0.0,0.0,,2.0,0.0,2.0,0.0,,0.0,,,,3.0,7.0,0.0,,HOU,,0.429,0.0,,2.0,,1.0,2.0,,1.0,,2.0,,1997,19970424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,HOU,1610612750,HOU_MIN_1997
