PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,DEF_RATING_RANK,PIE,FGM_PG,FGA_PG,E_OFF_RATING,DREB_PCT_RANK,E_DEF_RATING,PACE_RANK,PACE,E_NET_RATING_RANK,EFG_PCT,sp_work_OFF_RATING,OFF_RATING_RANK,sp_work_NET_RATING,USG_PCT_RANK,AST_PCT_RANK,POSS,sp_work_PACE_RANK,sp_work_NET_RATING_RANK,DEF_RATING,sp_work_DEF_RATING_RANK,DREB_PCT,E_TOV_PCT_RANK,sp_work_PACE,sp_work_DEF_RATING,REB_PCT,USG_PCT,AST_RATIO,NET_RATING,AST_TO_RANK,E_PACE,EFG_PCT_RANK,FGM_PG_RANK,REB_PCT_RANK,E_TOV_PCT,AST_RATIO_RANK,PACE_PER40,PIE_RANK,AST_PCT,OREB_PCT,TM_TOV_PCT_RANK,TS_PCT_RANK,AST_TO,OFF_RATING,E_USG_PCT_RANK,E_USG_PCT,E_DEF_RATING_RANK,OREB_PCT_RANK,NET_RATING_RANK,E_PACE_RANK,TS_PCT,sp_work_OFF_RATING_RANK,TM_TOV_PCT,FGA_PG_RANK,E_NET_RATING,E_OFF_RATING_RANK,BACKCOURT_FG_PCT,LEFT_CORNER_3_FG_PCT,MID_FGM,RA_FG_PCT,CORNER_3_FGA,RA_FGA,ITP_FGA,MID_FGA,ABOVE_BREAK_3_FGM,ABOVE_BREAK_3_FGA,MID_FG_PCT,CORNER_3_FG_PCT,RA_FGM,RIGHT_CORNER_3_FG_PCT,BACKCOURT_FGA,RIGHT_CORNER_3_FGM,CORNER_3_FGM,BACKCOURT_FGM,ITP_FG_PCT,ITP_FGM,ABOVE_BREAK_3_FG_PCT,RIGHT_CORNER_3_FGA,LEFT_CORNER_3_FGM,LEFT_CORNER_3_FGA,FGM_35_39,FGM_10_14,FGP_20_24,FGA_15_19,FGM_20_24,FGM_40_PLUS,FGP_15_19,FGP_35_39,FGP_25_29,FGA_30_34,FGM_LT_5,FGA_LT_5,FGA_20_24,FGP_30_34,TEAM_ABBR,FGM_30_34,FGP_LT_5,FGM_15_19,FGP_40_PLUS,FGA_10_14,FGA_25_29,FGP_10_14,FGA_5_9,FGA_35_39,FGP_5_9,FGA_40_PLUS,FGM_5_9,FGM_25_29,year,date,PASSES_MADE,AST_TO_PASS_PCT,PASSES_RECEIVED,FT_AST,AST_PTS_CREATED,POTENTIAL_AST,AST_TO_PASS_PCT_ADJ,SECONDARY_AST,AST_ADJ,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_FTM,DRIVES,DRIVE_PASSES_PCT,DRIVE_TOV,DRIVE_AST_PCT,DRIVE_FT_PCT,DRIVE_PF_PCT,DRIVE_FG_PCT,DRIVE_FGM,DRIVE_PASSES,DRIVE_FGA,DRIVE_FTA,DRIVE_PTS,DRIVE_AST,DRIVE_PTS_PCT,TOUCHES,PTS_PER_POST_TOUCH,FRONT_CT_TOUCHES,ELBOW_TOUCHES,POINTS,PAINT_TOUCHES,PTS_PER_PAINT_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_ELBOW_TOUCH,AVG_SEC_PER_TOUCH,POST_TOUCHES,TIME_OF_POSS,PTS_PER_TOUCH,REB_CHANCE_PCT,OREB_CONTEST,AVG_OREB_DIST,OREB_CONTEST_PCT,OREB_CHANCES,REB_CONTEST_PCT,REB_CHANCE_DEFER,DREB_CONTEST_PCT,DREB_CHANCE_PCT,AVG_REB_DIST,AVG_DREB_DIST,REB_CONTEST,DREB_CHANCE_PCT_ADJ,DREB_CHANCE_DEFER,REB_UNCONTEST,DREB_CONTEST,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,DREB_CHANCES,OREB_UNCONTEST,REB_CHANCE_PCT_ADJ,OREB_CHANCE_PCT_ADJ,DREB_UNCONTEST,REB_CHANCES,very_tight_FG2A_FREQUENCY,very_tight_EFG_PCT,very_tight_FG3A_FREQUENCY,very_tight_FG3A,very_tight_FGM,very_tight_FG2_PCT,PLAYER_LAST_TEAM_ABBREVIATION,very_tight_FGA,very_tight_FG3_PCT,very_tight_FG3M,very_tight_FG2M,G,PLAYER_LAST_TEAM_ID,very_tight_FG2A,very_tight_FGA_FREQUENCY,very_tight_FG_PCT,tight_FGA,tight_FGA_FREQUENCY,tight_FG2_PCT,tight_FG2A_FREQUENCY,tight_FG2A,tight_EFG_PCT,tight_FG3A,tight_FG3_PCT,tight_FGM,tight_FG3M,tight_FG_PCT,tight_FG3A_FREQUENCY,tight_FG2M,open_FGA_FREQUENCY,open_FG3A,open_FGA,open_FG2M,open_EFG_PCT,open_FG2A,open_FG3A_FREQUENCY,open_FG_PCT,open_FG3_PCT,open_FG2_PCT,open_FGM,open_FG3M,open_FG2A_FREQUENCY,wide_open_FG2A,wide_open_FG_PCT,wide_open_FG3A,wide_open_EFG_PCT,wide_open_FG2M,wide_open_FG3M,wide_open_FG2A_FREQUENCY,wide_open_FG3A_FREQUENCY,wide_open_FGM,wide_open_FGA_FREQUENCY,wide_open_FG3_PCT,wide_open_FGA,wide_open_FG2_PCT,PULL_UP_FG3M,PULL_UP_FGM,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PULL_UP_FGA,PULL_UP_EFG_PCT,EFF_FG_PCT,CATCH_SHOOT_FG_PCT,POST_TOUCH_FG_PCT,ELBOW_TOUCH_FG_PCT,POST_TOUCH_PTS,PAINT_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,PAINT_TOUCH_PTS,CATCH_SHOOT_PTS,NS_LT_06_PCT,FGM_LT_06,LT_06_PCT,FREQ,PLAYER_POSITION,FGA_LT_06,PLUSMINUS,CATCH_SHOOT_FG3A,CATCH_SHOOT_FGM,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_FGA,CATCH_SHOOT_EFG_PCT,CATCH_SHOOT_FG3M,HTM,VTM,opp_team,team,opp_id,series_key
21,Greg Anthony,Greg,1610612757,POR,32.0,1,1,0,1.0,17.726666666666667,3,7,0.429,2,5,0.4,4,5,0.8,0,1,1,2,0,1,1,0,3,1,12,11,22.2,0,0,21.0,1,1,1,1,43,21,26,24,1,2,11,11,12,17,37,42,47,17,41,14,12,1,35,1,13,8,22,4,1,19,6,0.213,3.0,7.0,120.2,48,80.3,53,81.23,6,0.571,117.2,7,43.0,20,8,29,53,5,74.2,6,0.045,1,81.23,74.2,0.024,0.237,18.2,43.0,33,77.06,13,21,53,0.0,21,67.69,7,0.286,0.0,1,11,0.0,117.2,18,0.247,12,37,5,59,0.652,7,0.0,26,39.9,5,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,1.0,,0.0,0.4,1.0,2.0,,0.0,,0.0,,1.0,1.0,5.0,,POR,,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
739,Rasheed Wallace,Rasheed,1610612757,POR,25.0,1,1,0,1.0,38.1,5,14,0.357,0,0,0.0,2,4,0.5,2,3,5,1,1,0,2,3,5,0,12,12,24.5,0,0,22.0,1,1,1,1,10,10,9,36,18,33,18,19,14,28,11,19,18,27,23,30,4,60,58,8,13,7,18,4,1,16,23,0.01,5.0,14.0,113.5,37,87.8,52,81.26,12,0.357,115.9,9,23.4,24,38,63,52,14,92.4,23,0.079,23,81.26,92.4,0.065,0.221,5.6,23.4,16,84.28,36,10,38,5.6,38,67.72,47,0.053,0.051,23,39,1.0,115.9,24,0.223,22,26,14,50,0.381,9,5.6,9,25.7,8,,0.0,1.0,0.571,0.0,7.0,1.0,6.0,0.0,0.0,0.167,0.0,4.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,,0.0,,4.0,7.0,2.0,,POR,,0.571,0.0,,1.0,0.0,0.0,3.0,,0.333,,1.0,0.0,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
120,Steven Smith,Steven,1610612757,POR,31.0,1,1,0,1.0,30.616666666666667,3,5,0.6,0,1,0.0,6,6,1.0,1,0,1,3,1,2,0,0,2,0,12,7,22.7,0,0,20.0,1,1,1,1,20,21,36,9,18,25,18,6,9,1,21,54,47,10,23,6,20,1,19,8,13,20,20,4,1,20,18,0.166,3.0,5.0,101.0,54,80.2,39,87.8,17,0.6,103.6,21,15.9,49,16,55,39,17,87.7,18,0.0,29,87.8,87.7,0.015,0.127,27.3,15.9,1,93.13,12,21,56,8.6,12,73.16,14,0.2,0.031,29,5,3.0,103.6,44,0.141,10,31,17,24,0.785,21,9.1,36,20.8,24,,,2.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.667,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0,1.0,2.0,,POR,,1.0,0.0,,0.0,0.0,0.0,2.0,,1.0,,2.0,0.0,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
937,Scottie Pippen,Scottie,1610612757,POR,34.0,1,1,0,1.0,38.355,8,14,0.571,1,2,0.5,3,4,0.75,1,4,5,3,0,3,0,1,2,0,20,26,39.5,0,0,35.0,1,1,1,1,9,4,9,11,3,13,3,15,14,19,21,15,18,10,41,2,20,35,19,8,8,1,6,4,1,5,12,0.228,8.0,14.0,124.5,35,77.3,50,81.97,5,0.607,124.6,4,41.3,27,18,65,50,6,83.3,12,0.091,1,81.97,83.3,0.061,0.2,15.8,41.3,33,85.25,11,4,40,0.0,24,68.31,5,0.167,0.026,1,12,0.0,124.6,29,0.199,7,35,6,48,0.635,4,0.0,9,47.2,4,,0.0,3.0,1.0,0.0,3.0,3.0,6.0,1.0,2.0,0.5,0.0,3.0,0.0,,0.0,0.0,,0.333,1.0,0.5,0.0,0.0,0.0,,0.0,0.5,1.0,1.0,,1.0,,0.0,,3.0,3.0,2.0,,POR,,1.0,1.0,,2.0,1.0,0.0,5.0,,0.6,,3.0,0.0,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
96,Detlef Schrempf,Detlef,1610612757,POR,37.0,1,1,0,1.0,23.961666666666662,1,4,0.25,0,0,0.0,2,2,1.0,1,1,2,2,1,2,0,0,0,0,4,9,14.4,0,0,12.0,1,1,1,1,30,45,43,44,18,33,18,19,23,1,21,42,40,17,23,6,20,1,1,8,38,15,37,4,1,38,28,0.091,1.0,4.0,117.6,51,93.2,55,81.13,13,0.25,120.0,6,24.9,51,18,40,55,13,95.1,28,0.038,37,81.13,95.1,0.039,0.115,25.0,24.9,6,82.77,47,45,48,12.7,13,67.61,29,0.167,0.04,36,35,2.0,120.0,52,0.116,28,29,13,55,0.41,6,12.5,43,24.4,6,,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,,0.0,,1.0,2.0,0.0,,POR,,0.5,0.0,,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
1719,Bonzi Wells,Bonzi,1610612757,POR,23.0,1,1,0,1.0,4.383333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2,0,0,-2,1.7,0,0,2.0,1,1,1,1,61,56,56,56,18,33,18,36,38,36,37,42,47,27,23,30,20,1,19,8,58,31,60,4,1,60,50,-0.2,0.0,1.0,77.3,1,116.3,49,82.13,57,0.0,75.0,57,-39.3,13,1,8,49,56,114.3,50,0.5,57,82.13,114.3,0.25,0.25,33.3,-39.3,16,80.16,56,56,1,33.3,7,68.44,59,1.0,0.0,57,58,1.0,75.0,14,0.258,52,37,56,57,0.0,57,33.3,56,-39.0,52,,,0.0,0.0,,0.0,0.0,1.0,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,POR,,0.0,0.0,,,,,1.0,,0.0,,0.0,,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
717,Arvydas Sabonis,Arvydas,1610612757,POR,35.0,1,1,0,1.0,34.06666666666667,2,9,0.222,0,1,0.0,9,10,0.9,2,12,14,4,2,2,0,1,3,0,13,11,39.8,1,0,35.0,1,1,1,1,15,29,16,49,18,25,18,1,1,15,11,2,2,6,11,6,20,35,35,8,11,8,4,1,1,5,38,0.205,2.0,9.0,111.2,3,90.9,46,85.24,18,0.222,112.9,10,12.9,22,13,62,46,21,100.0,38,0.375,32,85.24,100.0,0.226,0.225,20.0,12.9,6,90.09,51,29,5,10.3,18,71.04,9,0.235,0.067,31,30,2.0,112.9,23,0.223,23,22,21,33,0.485,10,10.0,16,20.3,11,,0.0,1.0,0.333,0.0,3.0,1.0,4.0,0.0,1.0,0.25,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,,0.0,,1.0,3.0,2.0,,POR,,0.333,1.0,,1.0,1.0,0.0,1.0,,0.0,,0.0,0.0,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
258,Brian Grant,Brian,1610612757,POR,28.0,1,1,0,1.0,22.516666666666666,2,10,0.2,0,0,0.0,3,4,0.75,6,4,10,1,1,0,0,2,1,0,7,13,19.5,0,0,18.0,1,1,1,1,33,29,14,52,18,33,18,15,14,19,2,15,5,27,23,30,20,57,11,8,27,6,28,4,1,28,1,0.104,2.0,10.0,105.7,23,70.3,43,86.34,7,0.2,102.5,23,34.2,12,30,40,43,7,68.3,1,0.133,26,86.34,68.3,0.179,0.26,7.1,34.2,16,83.82,52,29,10,7.3,36,71.95,26,0.111,0.231,26,48,1.0,102.5,12,0.261,2,2,7,51,0.298,23,7.1,14,35.4,17,,0.0,0.0,0.333,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,,0.0,,2.0,9.0,0.0,,POR,,0.222,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
757,Damon Stoudamire,Damon,1610612757,POR,26.0,1,1,0,1.0,30.273333333333333,4,9,0.444,1,2,0.5,5,6,0.833,1,1,2,3,0,0,0,1,4,0,14,8,20.9,0,0,20.0,1,1,1,1,21,12,16,21,3,13,3,8,9,16,21,42,40,10,41,30,20,35,50,8,10,18,25,4,1,20,32,0.109,4.0,9.0,107.6,53,86.0,44,85.62,16,0.5,111.1,11,14.8,29,15,54,44,18,96.3,32,0.033,1,85.62,96.3,0.034,0.194,20.0,14.8,33,92.15,19,12,50,0.0,18,71.35,24,0.214,0.034,1,14,0.0,111.1,33,0.192,20,30,18,28,0.601,11,0.0,16,21.6,15,,0.0,1.0,0.5,1.0,4.0,0.0,3.0,1.0,1.0,0.333,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.333,2.0,1.0,,0.5,,0.0,,2.0,4.0,3.0,,POR,,0.5,1.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2000,20000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
757,Damon Stoudamire,Damon,1610612757,POR,26.0,1,1,0,1.0,25.8,4,8,0.5,0,2,0.0,1,2,0.5,0,2,2,3,3,1,0,0,3,0,9,8,15.9,0,0,16.0,1,1,1,1,18,9,12,10,13,8,13,23,17,21,20,23,25,7,4,11,14,1,14,9,19,11,24,2,1,20,13,0.056,4.0,8.0,108.0,29,93.1,19,91.16,13,0.5,106.1,10,16.3,12,12,49,19,12,89.8,13,0.095,33,91.16,89.8,0.053,0.231,20.0,16.3,14,88.78,15,9,29,20.2,11,75.97,25,0.2,0.0,31,21,1.0,106.1,12,0.232,20,20,12,33,0.507,10,20.0,12,14.9,9,,,1.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.333,0.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,0.0,,0.333,,0.0,,3.0,3.0,2.0,,POR,,1.0,1.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2000,20000509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA,POR,1610612762,POR_UTA_2000
