PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,DEF_RATING_RANK,PIE,FGM_PG,FGA_PG,E_OFF_RATING,DREB_PCT_RANK,E_DEF_RATING,PACE_RANK,PACE,E_NET_RATING_RANK,EFG_PCT,sp_work_OFF_RATING,OFF_RATING_RANK,sp_work_NET_RATING,USG_PCT_RANK,AST_PCT_RANK,POSS,sp_work_PACE_RANK,sp_work_NET_RATING_RANK,DEF_RATING,sp_work_DEF_RATING_RANK,DREB_PCT,E_TOV_PCT_RANK,sp_work_PACE,sp_work_DEF_RATING,REB_PCT,USG_PCT,AST_RATIO,NET_RATING,AST_TO_RANK,E_PACE,EFG_PCT_RANK,FGM_PG_RANK,REB_PCT_RANK,E_TOV_PCT,AST_RATIO_RANK,PACE_PER40,PIE_RANK,AST_PCT,OREB_PCT,TM_TOV_PCT_RANK,TS_PCT_RANK,AST_TO,OFF_RATING,E_USG_PCT_RANK,E_USG_PCT,E_DEF_RATING_RANK,OREB_PCT_RANK,NET_RATING_RANK,E_PACE_RANK,TS_PCT,sp_work_OFF_RATING_RANK,TM_TOV_PCT,FGA_PG_RANK,E_NET_RATING,E_OFF_RATING_RANK,BACKCOURT_FG_PCT,LEFT_CORNER_3_FG_PCT,MID_FGM,RA_FG_PCT,CORNER_3_FGA,RA_FGA,ITP_FGA,MID_FGA,ABOVE_BREAK_3_FGM,ABOVE_BREAK_3_FGA,MID_FG_PCT,CORNER_3_FG_PCT,RA_FGM,RIGHT_CORNER_3_FG_PCT,BACKCOURT_FGA,RIGHT_CORNER_3_FGM,CORNER_3_FGM,BACKCOURT_FGM,ITP_FG_PCT,ITP_FGM,ABOVE_BREAK_3_FG_PCT,RIGHT_CORNER_3_FGA,LEFT_CORNER_3_FGM,LEFT_CORNER_3_FGA,FGM_35_39,FGM_10_14,FGP_20_24,FGA_15_19,FGM_20_24,FGM_40_PLUS,FGP_15_19,FGP_35_39,FGP_25_29,FGA_30_34,FGM_LT_5,FGA_LT_5,FGA_20_24,FGP_30_34,TEAM_ABBR,FGM_30_34,FGP_LT_5,FGM_15_19,FGP_40_PLUS,FGA_10_14,FGA_25_29,FGP_10_14,FGA_5_9,FGA_35_39,FGP_5_9,FGA_40_PLUS,FGM_5_9,FGM_25_29,year,date,PLAYER_NAME_x,TEAM_ID_x,TEAM_ABBREVIATION_x,GP_x,W_x,L_x,MIN_x,PASSES_MADE,AST_TO_PASS_PCT,PASSES_RECEIVED,FT_AST,AST_PTS_CREATED,POTENTIAL_AST,AST_TO_PASS_PCT_ADJ,SECONDARY_AST,AST_ADJ,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_FTM,DRIVES,DRIVE_PASSES_PCT,DRIVE_TOV,DRIVE_AST_PCT,DRIVE_FT_PCT,DRIVE_PF_PCT,DRIVE_FG_PCT,DRIVE_FGM,DRIVE_PASSES,DRIVE_FGA,DRIVE_FTA,DRIVE_PTS,DRIVE_AST,DRIVE_PTS_PCT,TOUCHES,PTS_PER_POST_TOUCH,FRONT_CT_TOUCHES,ELBOW_TOUCHES,POINTS,PAINT_TOUCHES,PTS_PER_PAINT_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_ELBOW_TOUCH,AVG_SEC_PER_TOUCH,POST_TOUCHES,TIME_OF_POSS,PTS_PER_TOUCH,REB_CHANCE_PCT,OREB_CONTEST,AVG_OREB_DIST,OREB_CONTEST_PCT,OREB_CHANCES,REB_CONTEST_PCT,REB_CHANCE_DEFER,DREB_CONTEST_PCT,DREB_CHANCE_PCT,AVG_REB_DIST,AVG_DREB_DIST,REB_CONTEST,DREB_CHANCE_PCT_ADJ,DREB_CHANCE_DEFER,REB_UNCONTEST,DREB_CONTEST,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,DREB_CHANCES,OREB_UNCONTEST,REB_CHANCE_PCT_ADJ,OREB_CHANCE_PCT_ADJ,DREB_UNCONTEST,REB_CHANCES,very_tight_FG2A_FREQUENCY,very_tight_EFG_PCT,very_tight_FG3A_FREQUENCY,very_tight_FG3A,very_tight_FGM,very_tight_FG2_PCT,PLAYER_LAST_TEAM_ABBREVIATION,very_tight_FGA,very_tight_FG3_PCT,very_tight_FG3M,very_tight_FG2M,G,PLAYER_LAST_TEAM_ID,very_tight_FG2A,very_tight_FGA_FREQUENCY,very_tight_FG_PCT,tight_FGA,tight_FGA_FREQUENCY,tight_FG2_PCT,tight_FG2A_FREQUENCY,tight_FG2A,tight_EFG_PCT,tight_FG3A,tight_FG3_PCT,tight_FGM,tight_FG3M,tight_FG_PCT,tight_FG3A_FREQUENCY,tight_FG2M,open_FGA_FREQUENCY,open_FG3A,open_FGA,open_FG2M,open_EFG_PCT,open_FG2A,open_FG3A_FREQUENCY,open_FG_PCT,open_FG3_PCT,open_FG2_PCT,open_FGM,open_FG3M,open_FG2A_FREQUENCY,wide_open_FG2A,wide_open_FG_PCT,wide_open_FG3A,wide_open_EFG_PCT,wide_open_FG2M,wide_open_FG3M,wide_open_FG2A_FREQUENCY,wide_open_FG3A_FREQUENCY,wide_open_FGM,wide_open_FGA_FREQUENCY,wide_open_FG3_PCT,wide_open_FGA,wide_open_FG2_PCT,PULL_UP_FG3M,PULL_UP_FGM,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PULL_UP_FGA,PULL_UP_EFG_PCT,EFF_FG_PCT,CATCH_SHOOT_FG_PCT_x,POST_TOUCH_FG_PCT,ELBOW_TOUCH_FG_PCT,POST_TOUCH_PTS,PAINT_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,PAINT_TOUCH_PTS,CATCH_SHOOT_PTS_x,year_x,PLAYER_POSITION,FGM_LT_06,PLUSMINUS,FREQ,LT_06_PCT,FGA_LT_06,NS_LT_06_PCT,PLAYER_NAME_y,TEAM_ID_y,TEAM_ABBREVIATION_y,GP_y,W_y,L_y,MIN_y,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT_y,CATCH_SHOOT_PTS_y,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,year_y,HTM,VTM,opp_team,team,opp_id,series_key
1725,Rasho Nesterovic,Rasho,1610612759.0,SAS,28.0,1.0,1.0,0.0,1.0,27.08833333333333,2,4,0.5,0,0,0.0,0,0,0.0,1,5,6,1,0,0,3,1,2,0,4,3,21.7,0,0,17.0,1,1,1,1,33,43,50,20,28,42,28,48,50,48,23,14,17,37,57,42,1,52,34,3,53,30,31,9,1,38,42,0.094,2.0,4.0,99.4,22,97.5,46,90.37,42,0.5,96.1,41,5.9,82,51,51,46,34,90.2,42,0.167,1,90.37,90.2,0.113,0.073,20.0,5.9,40,85.48,26,43,25,0.0,23,75.31,44,0.05,0.043,1,41,0.0,96.1,83,0.075,50,36,34,72,0.5,41,0.0,50,1.8,35,,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.333,0.0,1.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,2.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,SAS,,1.0,0.0,,1.0,0.0,1.0,0.0,,0.0,,0.0,0.0,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
1938,Manu Ginobili,Manu,1610612759.0,SAS,26.0,1.0,1.0,0.0,1.0,26.516666666666666,5,10,0.5,0,3,0.0,5,5,1.0,0,3,3,3,2,1,1,0,3,0,15,9,27.1,0,0,25.0,1,1,1,1,36,15,23,20,28,11,28,9,14,1,52,28,37,14,21,21,12,1,53,3,16,15,21,9,1,23,34,0.187,5.0,10.0,96.6,31,90.4,36,92.32,36,0.5,103.9,32,17.6,25,25,51,36,24,86.3,34,0.136,41,92.32,86.3,0.068,0.224,18.8,17.6,9,93.7,26,15,47,11.6,25,76.93,15,0.176,0.0,45,29,1.5,103.9,23,0.237,38,52,24,35,0.615,32,12.5,23,6.3,40,,0.0,1.0,0.75,0.0,4.0,2.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,,0.0,0.0,,0.5,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,,0.0,,4.0,5.0,3.0,,SAS,,0.8,1.0,,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
990,Malik Rose,Malik,1610612759.0,SAS,29.0,1.0,1.0,0.0,1.0,14.733333333333333,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,3,2,1,0,0,2,0,4,4,9.5,0,0,9.0,1,1,1,1,60,43,56,12,28,42,28,48,50,48,52,65,70,14,21,21,33,1,34,3,53,23,61,9,1,59,35,0.077,2.0,3.0,97.9,65,88.8,7,99.37,32,0.667,96.8,39,10.1,50,7,31,7,32,86.7,35,0.0,70,99.37,86.7,0.0,0.161,37.5,10.1,9,97.61,16,43,70,25.0,5,82.81,50,0.333,0.0,70,18,1.5,96.8,51,0.163,35,52,32,17,0.667,39,25.0,56,9.1,38,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,1.0,1.0,0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,0.0,,SAS,,0.0,0.0,,2.0,0.0,1.0,0.0,,0.0,,0.0,0.0,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
788,Kevin Willis,Kevin,1610612759.0,SAS,41.0,1.0,1.0,0.0,1.0,2.933333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,3,3.0,0,0,2.0,1,1,1,1,80,69,74,69,28,42,28,48,50,48,52,65,70,55,57,21,33,1,1,3,76,30,76,9,1,76,23,0.0,0.0,1.0,140.0,65,82.0,49,90.0,4,0.0,116.7,10,36.7,48,55,6,49,9,80.0,23,0.0,1,90.0,80.0,0.0,0.167,0.0,36.7,40,80.84,69,69,70,0.0,55,75.0,67,0.0,0.0,1,76,0.0,116.7,37,0.2,25,52,9,80,0.0,10,0.0,74,58.0,3,,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,SAS,,0.0,0.0,,1.0,,0.0,,,,,,,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
109,Robert Horry,Robert,1610612759.0,SAS,33.0,1.0,1.0,0.0,1.0,16.661666666666665,5,6,0.833,0,1,0.0,0,0,0.0,2,3,5,1,1,0,1,0,4,1,10,16,19.5,0,0,18.0,1,1,1,1,55,15,40,7,28,27,28,48,50,48,11,28,22,37,40,42,12,1,68,1,30,8,36,9,1,35,9,0.235,5.0,6.0,111.5,28,74.8,37,92.19,9,0.833,115.2,14,44.2,43,48,33,37,7,71.0,9,0.143,49,92.19,71.0,0.152,0.175,12.5,44.2,17,91.44,9,15,10,12.5,41,76.82,8,0.091,0.167,45,11,1.0,115.2,46,0.179,11,4,7,48,0.833,14,12.5,40,36.7,13,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,5.0,5.0,0.0,,SAS,,1.0,0.0,,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
1477,Bruce Bowen,Bruce,1610612759.0,SAS,33.0,1.0,1.0,0.0,1.0,32.11666666666667,4,8,0.5,1,3,0.333,0,0,0.0,1,2,3,3,3,0,1,0,2,0,9,16,17.1,0,0,18.0,1,1,1,1,24,22,32,20,11,11,19,48,50,48,23,36,37,14,14,42,12,1,34,3,35,8,41,9,1,35,12,0.078,4.0,8.0,97.9,57,75.5,83,82.95,20,0.563,101.8,33,27.2,46,37,56,83,17,74.5,12,0.053,61,82.95,74.5,0.047,0.172,21.4,27.2,17,84.05,24,22,55,21.4,21,69.12,48,0.143,0.038,61,33,1.0,101.8,50,0.171,13,40,17,76,0.563,33,21.4,32,22.4,37,,0.0,2.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.5,0.333,1.0,0.5,,1.0,1.0,,0.0,0.0,0.0,2.0,0.0,1.0,,0.0,0.2,1.0,1.0,,1.0,,0.0,,1.0,1.0,5.0,,SAS,,1.0,1.0,,0.0,0.0,0.0,1.0,,1.0,,1.0,0.0,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
369,Charlie Ward,Charlie,1610612759.0,SAS,33.0,1.0,1.0,0.0,1.0,4.05,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,6,4,7.5,0,0,9.0,1,1,1,1,75,43,63,1,2,19,1,48,50,48,52,65,70,37,57,42,33,1,1,3,42,23,64,9,1,59,31,0.5,2.0,2.0,142.9,65,87.2,59,88.89,5,1.5,125.0,4,39.3,16,2,8,59,8,85.7,31,0.0,1,88.89,85.7,0.0,0.25,33.3,39.3,40,82.25,1,43,70,0.0,9,74.07,3,0.5,0.0,1,1,0.0,125.0,10,0.286,32,52,8,79,1.5,4,0.0,63,55.6,2,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,1.0,,0.0,0.0,1.0,,1.0,1.0,,0.0,1.0,0.0,2.0,,0.0,,,,0.0,0.0,2.0,,SAS,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
2045,Hedo Turkoglu,Hedo,1610612759.0,SAS,25.0,1.0,1.0,0.0,1.0,32.2,4,10,0.4,1,2,0.5,3,4,0.75,1,5,6,3,5,3,0,1,4,0,12,18,27.7,0,0,28.0,1,1,1,1,23,22,23,42,11,19,14,19,18,28,23,14,17,14,4,5,33,52,68,3,22,6,20,9,1,15,28,0.067,4.0,10.0,115.9,12,90.5,12,96.15,16,0.45,114.1,15,29.4,15,43,64,12,16,84.6,28,0.2,72,96.15,84.6,0.122,0.254,15.0,29.4,29,92.24,43,22,17,25.3,36,80.12,55,0.115,0.042,70,38,0.6,114.1,16,0.254,39,37,16,42,0.51,15,25.0,23,25.5,10,,0.0,3.0,0.0,0.0,2.0,0.0,6.0,1.0,2.0,0.5,0.0,0.0,,,,0.0,,0.0,0.0,0.5,,0.0,0.0,,0.0,0.5,4.0,1.0,,0.5,,0.5,,0.0,2.0,2.0,,SAS,,0.0,2.0,,0.0,2.0,0.0,0.0,,0.0,,0.0,1.0,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
2225,Tony Parker,Tony,1610612759.0,SAS,22.0,1.0,1.0,0.0,1.0,31.35,4,10,0.4,2,2,1.0,0,0,0.0,0,2,2,8,4,0,0,2,0,0,10,17,20.4,0,0,22.0,1,1,1,1,26,22,23,42,2,19,1,48,50,48,52,36,48,2,7,42,33,77,1,3,30,7,34,9,1,28,24,0.111,4.0,10.0,106.6,54,83.4,74,87.27,18,0.5,110.5,20,29.8,30,6,57,74,15,80.7,24,0.059,57,87.27,80.7,0.034,0.212,36.4,29.8,5,87.46,26,22,64,18.2,7,72.73,35,0.348,0.0,57,41,2.0,110.5,30,0.212,26,52,15,66,0.5,20,18.2,23,23.2,21,,0.0,0.0,0.4,0.0,5.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.5,0.0,2.0,,0.0,,0.0,,2.0,6.0,4.0,,SAS,,0.333,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
1495,Tim Duncan,Tim,1610612759.0,SAS,28.0,1.0,1.0,0.0,1.0,35.7,12,18,0.667,0,0,0.0,2,4,0.5,2,7,9,3,1,1,2,2,3,0,26,23,49.3,0,0,44.0,1,1,1,1,17,1,5,12,28,42,28,24,18,37,11,6,10,14,40,21,5,77,53,3,1,2,1,9,1,1,18,0.258,12.0,18.0,108.9,6,81.4,69,88.07,12,0.667,115.4,13,36.6,10,32,65,69,10,78.8,18,0.241,31,88.07,78.8,0.161,0.278,13.0,36.6,2,89.25,16,1,9,4.2,39,73.39,7,0.158,0.074,31,20,3.0,115.4,11,0.281,23,26,10,60,0.658,13,4.3,5,27.6,16,,0.0,1.0,0.778,0.0,9.0,5.0,4.0,0.0,0.0,0.25,0.0,7.0,0.0,,0.0,0.0,,0.8,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,,0.333,,0.0,,8.0,10.0,0.0,,SAS,,0.8,1.0,,0.0,0.0,0.0,5.0,,0.6,,3.0,0.0,2004.0,20040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,SAS,1610612763.0,SAS_MEM_2004.0
