,shot_description,shot_count,shot_makes,year,shot_group
0,2PT Jump Shot,10818,3990,1997,TWO_POINT_JUMPERS
1,2PT Running Jump Shot,592,384,1997,TWO_POINT_JUMPERS
2,3PT Jump Shot,2684,904,1997,THREE_POINT_JUMPERS
3,3PT Running Jump Shot,2,2,1997,THREE_POINT_JUMPERS
4,Driving Dunk,110,108,1997,DUNKS
5,Driving Layup,1188,942,1997,LAYUPS
6,Hook Shot,770,418,1997,POST_MOVES
7,Standard Dunk,856,818,1997,DUNKS
8,Standard Layup,4404,1866,1997,LAYUPS
9,Tip Shot,476,218,1997,TIP_SHOTS
0,2PT Jump Shot,9288,3448,1998,TWO_POINT_JUMPERS
1,2PT Running Jump Shot,550,356,1998,TWO_POINT_JUMPERS
2,3PT Jump Shot,3938,1358,1998,THREE_POINT_JUMPERS
3,Driving Dunk,78,78,1998,DUNKS
4,Driving Layup,1418,1000,1998,LAYUPS
5,Hook Shot,670,362,1998,POST_MOVES
6,Standard Dunk,852,782,1998,DUNKS
7,Standard Layup,3808,1858,1998,LAYUPS
8,Tip Shot,498,232,1998,TIP_SHOTS
0,2PT Jump Shot,9784,3474,1999,TWO_POINT_JUMPERS
1,2PT Running Jump Shot,446,296,1999,TWO_POINT_JUMPERS
2,3PT Jump Shot,3616,1154,1999,THREE_POINT_JUMPERS
3,3PT Running Jump Shot,8,4,1999,THREE_POINT_JUMPERS
4,Driving Dunk,86,82,1999,DUNKS
5,Driving Layup,1280,782,1999,LAYUPS
6,Hook Shot,580,284,1999,POST_MOVES
7,Standard Dunk,792,692,1999,DUNKS
8,Standard Layup,2728,1422,1999,LAYUPS
9,Tip Shot,394,196,1999,TIP_SHOTS
0,2PT Jump Shot,11148,3866,2000,TWO_POINT_JUMPERS
1,2PT Running Jump Shot,732,458,2000,TWO_POINT_JUMPERS
2,3PT Jump Shot,4380,1534,2000,THREE_POINT_JUMPERS
3,3PT Running Jump Shot,6,2,2000,THREE_POINT_JUMPERS
4,Driving Dunk,104,100,2000,DUNKS
5,Driving Layup,1730,1092,2000,LAYUPS
6,Hook Shot,800,436,2000,POST_MOVES
7,Standard Dunk,918,834,2000,DUNKS
