GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0029900007,4,123,Robert Pack,1610612742,Dallas Mavericks,1,11,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-173,3,1,1,19991102,DAL,GSW
Shot Chart Detail,0029900007,6,714,Michael Finley,1610612742,Dallas Mavericks,1,11,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,128,119,1,1,19991102,DAL,GSW
Shot Chart Detail,0029900007,10,1065,Erick Strickland,1610612742,Dallas Mavericks,1,10,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19991102,DAL,GSW
Shot Chart Detail,0029900007,16,714,Michael Finley,1610612742,Dallas Mavericks,1,10,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-149,78,1,1,19991102,DAL,GSW
Shot Chart Detail,0029900007,21,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,9,52,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19991102,DAL,GSW
Shot Chart Detail,0029900007,26,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,9,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-143,16,1,0,19991102,DAL,GSW
Shot Chart Detail,0029900007,28,1065,Erick Strickland,1610612742,Dallas Mavericks,1,9,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-149,55,1,0,19991102,DAL,GSW
Shot Chart Detail,0029900007,31,123,Robert Pack,1610612742,Dallas Mavericks,1,8,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19991102,DAL,GSW
Shot Chart Detail,0029900007,35,714,Michael Finley,1610612742,Dallas Mavericks,1,8,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-149,21,1,0,19991102,DAL,GSW
Shot Chart Detail,0029900007,37,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,8,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-98,106,1,1,19991102,DAL,GSW
