GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON
Shot Chart Detail,29900006,99,0,Opponent,1610612761,Toronto Raptors,1,2,12,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-91,139,1,1,19991102,TOR,BOS,2990000699,|1503|1519|1713|177|57
Shot Chart Detail,29900006,102,0,Opponent,1610612761,Toronto Raptors,1,1,46,Missed Shot,Jump Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,70,121,1,0,19991102,TOR,BOS,29900006102,|1503|1519|1713|177|57
Shot Chart Detail,29900006,105,0,Opponent,1610612761,Toronto Raptors,1,1,16,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,136,18,1,0,19991102,TOR,BOS,29900006105,|1503|1519|1713|177|57
Shot Chart Detail,29900006,109,0,Opponent,1610612761,Toronto Raptors,1,1,1,Made Shot,Running Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,29,70,1,1,19991102,TOR,BOS,29900006109,|1503|1519|1713|177|57
Shot Chart Detail,29900006,121,0,Opponent,1610612761,Toronto Raptors,1,0,0,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,43,-177,394,1,0,19991102,TOR,BOS,29900006121,|1503|1713|177|209|788
Shot Chart Detail,29900006,129,0,Opponent,1610612761,Toronto Raptors,2,11,18,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-227,8,1,1,19991102,TOR,BOS,29900006129,|1503|1713|177|209|788
Shot Chart Detail,29900006,131,0,Opponent,1610612761,Toronto Raptors,2,10,43,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19991102,TOR,BOS,29900006131,|1503|1713|177|209|788
Shot Chart Detail,29900006,144,0,Opponent,1610612761,Toronto Raptors,2,9,44,Missed Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,18,136,128,1,0,19991102,TOR,BOS,29900006144,|1503|1713|177|209|788
Shot Chart Detail,29900006,147,0,Opponent,1610612761,Toronto Raptors,2,9,37,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19991102,TOR,BOS,29900006147,|1503|1713|177|209|788
Shot Chart Detail,29900006,166,0,Opponent,1610612761,Toronto Raptors,2,8,42,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,143,207,1,1,19991102,TOR,BOS,29900006166,|1503|1713|177|209|788
Shot Chart Detail,29900006,168,0,Opponent,1610612761,Toronto Raptors,2,8,5,Missed Shot,Jump Shot,,Mid-Range,Center(C),8-16 ft.,15,78,139,1,0,19991102,TOR,BOS,29900006168,|1503|1713|177|209|788
Shot Chart Detail,29900006,174,0,Opponent,1610612761,Toronto Raptors,2,7,16,Missed Shot,Jump Shot,,Mid-Range,Center(C),8-16 ft.,15,-42,149,1,0,19991102,TOR,BOS,29900006174,|1503|1713|177|209|788
Shot Chart Detail,29900006,181,0,Opponent,1610612761,Toronto Raptors,2,6,42,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,14,-48,134,1,0,19991102,TOR,BOS,29900006181,|1503|1713|177|209|788
Shot Chart Detail,29900006,183,0,Opponent,1610612761,Toronto Raptors,2,6,37,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19991102,TOR,BOS,29900006183,|1503|1713|177|209|788
Shot Chart Detail,29900006,185,0,Opponent,1610612761,Toronto Raptors,2,6,19,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19991102,TOR,BOS,29900006185,|1503|1713|177|209|788
Shot Chart Detail,29900006,206,0,Opponent,1610612761,Toronto Raptors,2,4,3,Made Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-63,31,1,1,19991102,TOR,BOS,29900006206,|1503|177|209|57|788
Shot Chart Detail,29900006,211,0,Opponent,1610612761,Toronto Raptors,2,3,26,Made Shot,Running Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-76,31,1,1,19991102,TOR,BOS,29900006211,|1503|177|209|57|788
Shot Chart Detail,29900006,336,0,Opponent,1610612761,Toronto Raptors,3,2,52,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19991102,TOR,BOS,29900006336,|1503|1713|177|209|213
Shot Chart Detail,29900006,339,0,Opponent,1610612761,Toronto Raptors,3,2,17,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,143,63,1,0,19991102,TOR,BOS,29900006339,|1503|1713|177|209|213
Shot Chart Detail,29900006,355,0,Opponent,1610612761,Toronto Raptors,3,1,5,Missed Shot,Running Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19991102,TOR,BOS,29900006355,|1503|1713|177|209|213
