Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON
0,Shot Chart Detail,20800008,111,101131,Jason Maxiell,1610612765,Detroit Pistons,2,11,34,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081029,DET,IND,20800008111,|101131|200835|201155|201167|686
1,Shot Chart Detail,20800008,117,101131,Jason Maxiell,1610612765,Detroit Pistons,2,11,6,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,17,-158,82,1,0,20081029,DET,IND,20800008117,|101131|200835|201155|201167|686
2,Shot Chart Detail,20800008,122,101131,Jason Maxiell,1610612765,Detroit Pistons,2,10,42,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-138,60,1,0,20081029,DET,IND,20800008122,|101131|200835|201155|201167|686
3,Shot Chart Detail,20800008,125,101131,Jason Maxiell,1610612765,Detroit Pistons,2,10,8,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,15,-153,44,1,0,20081029,DET,IND,20800008125,|101131|200835|201155|201167|686
4,Shot Chart Detail,20800008,133,101131,Jason Maxiell,1610612765,Detroit Pistons,2,9,40,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,192,181,1,1,20081029,DET,IND,20800008133,|101131|200835|201155|201167|686
5,Shot Chart Detail,20800008,135,101131,Jason Maxiell,1610612765,Detroit Pistons,2,9,23,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-65,156,1,1,20081029,DET,IND,20800008135,|101131|200835|201155|201167|686
6,Shot Chart Detail,20800008,145,101131,Jason Maxiell,1610612765,Detroit Pistons,2,8,50,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,18,-130,129,1,0,20081029,DET,IND,20800008145,|101131|200835|201155|201167|686
7,Shot Chart Detail,20800008,148,101131,Jason Maxiell,1610612765,Detroit Pistons,2,8,28,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,17,155,82,1,0,20081029,DET,IND,20800008148,|101131|200835|201155|201167|686
8,Shot Chart Detail,20800008,152,101131,Jason Maxiell,1610612765,Detroit Pistons,2,8,8,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,17,-122,119,1,0,20081029,DET,IND,20800008152,|101131|200835|201155|201167|686
9,Shot Chart Detail,20800008,160,101131,Jason Maxiell,1610612765,Detroit Pistons,2,7,49,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-224,15,1,1,20081029,DET,IND,20800008160,|101131|1497|200835|201167|686
