GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400020,3,0,Opponent,1610612746,Los Angeles Clippers,1,11,35,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,21,6,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,6,0,Opponent,1610612746,Los Angeles Clippers,1,11,3,Made Shot,Turnaround Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,13,111,72,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,11,0,Opponent,1610612746,Los Angeles Clippers,1,10,29,Made Shot,Running Hook Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-16,31,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,15,0,Opponent,1610612746,Los Angeles Clippers,1,10,6,Made Shot,Step Back Jump shot,,Mid-Range,Left Side(L),8-16 ft.,14,-97,113,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,26,0,Opponent,1610612746,Los Angeles Clippers,1,9,13,Made Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,21,15,217,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,30,0,Opponent,1610612746,Los Angeles Clippers,1,8,27,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,122,238,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,35,0,Opponent,1610612746,Los Angeles Clippers,1,7,59,Made Shot,Slam Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,41,0,Opponent,1610612746,Los Angeles Clippers,1,7,26,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-11,12,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,43,0,Opponent,1610612746,Los Angeles Clippers,1,7,6,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,58,252,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,45,0,Opponent,1610612746,Los Angeles Clippers,1,7,3,Missed Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,52,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,65,0,Opponent,1610612746,Los Angeles Clippers,1,5,45,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,0,28,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,75,0,Opponent,1610612746,Los Angeles Clippers,1,5,23,Missed Shot,Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,12,75,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,77,0,Opponent,1610612746,Los Angeles Clippers,1,5,16,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-127,208,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,85,0,Opponent,1610612746,Los Angeles Clippers,1,4,41,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-234,-13,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,102,0,Opponent,1610612746,Los Angeles Clippers,1,2,49,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-21,14,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,135,0,Opponent,1610612746,Los Angeles Clippers,1,0,50,Made Shot,Floating Jump shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,58,69,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,139,0,Opponent,1610612746,Los Angeles Clippers,1,0,1,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-139,208,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,146,0,Opponent,1610612746,Los Angeles Clippers,2,11,26,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,193,183,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,149,0,Opponent,1610612746,Los Angeles Clippers,2,10,59,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-7,41,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,156,0,Opponent,1610612746,Los Angeles Clippers,2,10,35,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,198,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,172,0,Opponent,1610612746,Los Angeles Clippers,2,9,19,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,24,12,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,190,0,Opponent,1610612746,Los Angeles Clippers,2,8,9,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,2,20,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,195,0,Opponent,1610612746,Los Angeles Clippers,2,7,30,Made Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,21,-43,211,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,207,0,Opponent,1610612746,Los Angeles Clippers,2,6,43,Missed Shot,Floating Jump shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-46,67,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,220,0,Opponent,1610612746,Los Angeles Clippers,2,6,0,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-131,225,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,227,0,Opponent,1610612746,Los Angeles Clippers,2,5,0,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,82,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,231,0,Opponent,1610612746,Los Angeles Clippers,2,4,29,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-122,241,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,238,0,Opponent,1610612746,Los Angeles Clippers,2,3,48,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,29,118,268,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,244,0,Opponent,1610612746,Los Angeles Clippers,2,3,11,Missed Shot,Running Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-49,55,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,249,0,Opponent,1610612746,Los Angeles Clippers,2,2,39,Made Shot,Running Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-5,67,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,257,0,Opponent,1610612746,Los Angeles Clippers,2,2,0,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,192,179,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,261,0,Opponent,1610612746,Los Angeles Clippers,2,1,21,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,27,-67,268,1,0,20141030,LAC,OKC
Shot Chart Detail,0021400020,264,0,Opponent,1610612746,Los Angeles Clippers,2,0,56,Made Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,17,165,61,1,1,20141030,LAC,OKC
Shot Chart Detail,0021400020,266,0,Opponent,1610612746,Los Angeles Clippers,2,0,31,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-8,258,1,0,20141030,LAC,OKC
