GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041800161,9,0,Opponent,1610612760,Oklahoma City Thunder,1,11,38,Made Shot,Running Pull-Up Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,29,155,254,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,13,0,Opponent,1610612760,Oklahoma City Thunder,1,11,10,Missed Shot,Cutting Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,8,12,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,29,0,Opponent,1610612760,Oklahoma City Thunder,1,10,11,Missed Shot,Step Back Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,23,-89,215,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,31,0,Opponent,1610612760,Oklahoma City Thunder,1,10,8,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,37,0,Opponent,1610612760,Oklahoma City Thunder,1,9,34,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-157,200,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,45,0,Opponent,1610612760,Oklahoma City Thunder,1,9,3,Made Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,47,0,Opponent,1610612760,Oklahoma City Thunder,1,8,41,Made Shot,Step Back Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-134,228,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,67,0,Opponent,1610612760,Oklahoma City Thunder,1,7,9,Made Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,48,5,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,71,0,Opponent,1610612760,Oklahoma City Thunder,1,6,44,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-226,1,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,86,0,Opponent,1610612760,Oklahoma City Thunder,1,5,59,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,227,34,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,91,0,Opponent,1610612760,Oklahoma City Thunder,1,5,41,Missed Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-98,236,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,93,0,Opponent,1610612760,Oklahoma City Thunder,1,5,38,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-9,12,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,96,0,Opponent,1610612760,Oklahoma City Thunder,1,4,53,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,92,230,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,105,0,Opponent,1610612760,Oklahoma City Thunder,1,4,9,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-16,2,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,107,0,Opponent,1610612760,Oklahoma City Thunder,1,4,5,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,110,0,Opponent,1610612760,Oklahoma City Thunder,1,3,46,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,28,-163,231,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,127,0,Opponent,1610612760,Oklahoma City Thunder,1,2,45,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,22,-221,20,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,131,0,Opponent,1610612760,Oklahoma City Thunder,1,2,21,Missed Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-193,159,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,135,0,Opponent,1610612760,Oklahoma City Thunder,1,1,49,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,16,-28,160,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,154,0,Opponent,1610612760,Oklahoma City Thunder,1,0,43,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-13,10,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,171,0,Opponent,1610612760,Oklahoma City Thunder,2,11,39,Missed Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,19,25,193,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,178,0,Opponent,1610612760,Oklahoma City Thunder,2,11,11,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-32,52,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,181,0,Opponent,1610612760,Oklahoma City Thunder,2,11,1,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,18,-4,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,183,0,Opponent,1610612760,Oklahoma City Thunder,2,10,59,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,187,0,Opponent,1610612760,Oklahoma City Thunder,2,10,34,Missed Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-54,86,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,195,0,Opponent,1610612760,Oklahoma City Thunder,2,10,1,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,196,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,200,0,Opponent,1610612760,Oklahoma City Thunder,2,9,25,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,4,125,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,205,0,Opponent,1610612760,Oklahoma City Thunder,2,9,14,Made Shot,Running Pull-Up Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,150,230,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,213,0,Opponent,1610612760,Oklahoma City Thunder,2,8,46,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,58,1,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,216,0,Opponent,1610612760,Oklahoma City Thunder,2,8,23,Missed Shot,Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,12,120,13,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,240,0,Opponent,1610612760,Oklahoma City Thunder,2,6,56,Made Shot,Driving Floating Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,8,29,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,243,0,Opponent,1610612760,Oklahoma City Thunder,2,6,29,Missed Shot,Step Back Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,79,241,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,266,0,Opponent,1610612760,Oklahoma City Thunder,2,5,20,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,3,12,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,275,0,Opponent,1610612760,Oklahoma City Thunder,2,4,13,Missed Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,28,38,281,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,280,0,Opponent,1610612760,Oklahoma City Thunder,2,3,45,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,226,54,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,300,0,Opponent,1610612760,Oklahoma City Thunder,2,2,19,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,79,242,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,304,0,Opponent,1610612760,Oklahoma City Thunder,2,1,58,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,11,8,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,312,0,Opponent,1610612760,Oklahoma City Thunder,2,1,22,Missed Shot,Turnaround Fadeaway shot,,Mid-Range,Left Side(L),16-24 ft.,16,-136,85,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,316,0,Opponent,1610612760,Oklahoma City Thunder,2,0,47,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,214,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,327,0,Opponent,1610612760,Oklahoma City Thunder,2,0,6,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,21,128,173,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,344,0,Opponent,1610612760,Oklahoma City Thunder,3,11,47,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-9,5,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,348,0,Opponent,1610612760,Oklahoma City Thunder,3,11,38,Made Shot,Jump Shot,,Mid-Range,Right Side(R),16-24 ft.,19,190,-10,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,353,0,Opponent,1610612760,Oklahoma City Thunder,3,10,30,Made Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-14,51,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,356,0,Opponent,1610612760,Oklahoma City Thunder,3,10,3,Made Shot,Pullup Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,54,59,1,1,20190414,POR,OKC
Shot Chart Detail,0041800161,358,0,Opponent,1610612760,Oklahoma City Thunder,3,9,40,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,15,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,361,0,Opponent,1610612760,Oklahoma City Thunder,3,9,26,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-9,22,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,363,0,Opponent,1610612760,Oklahoma City Thunder,3,9,23,Missed Shot,Tip Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,365,0,Opponent,1610612760,Oklahoma City Thunder,3,9,22,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,-3,1,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,367,0,Opponent,1610612760,Oklahoma City Thunder,3,9,21,Missed Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,371,0,Opponent,1610612760,Oklahoma City Thunder,3,8,49,Missed Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,20,-25,204,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,377,0,Opponent,1610612760,Oklahoma City Thunder,3,8,24,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,51,48,1,0,20190414,POR,OKC
Shot Chart Detail,0041800161,382,0,Opponent,1610612760,Oklahoma City Thunder,3,8,3,Made Shot,Driving Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,16,4,1,1,20190414,POR,OKC
