GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,PLAYERS_ON
Shot Chart Detail,22300013,72,0,Opponent,1610612759,San Antonio Spurs,1,5,45,Made Shot,Cutting Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,5,-1,1,1,20231110,SAS,MIN,2230001372,|1626224|1629640|1630170|1631110
Shot Chart Detail,22300013,78,0,Opponent,1610612759,San Antonio Spurs,1,5,20,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-181,169,1,0,20231110,SAS,MIN,2230001378,|1626224|1629640|1630170|1631110
Shot Chart Detail,22300013,81,0,Opponent,1610612759,San Antonio Spurs,1,4,46,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,9,1,0,20231110,SAS,MIN,2230001381,|1626224|1629640|1630170|1631110
Shot Chart Detail,22300013,83,0,Opponent,1610612759,San Antonio Spurs,1,4,42,Made Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231110,SAS,MIN,2230001383,|1626224|1629640|1630170|1631110
Shot Chart Detail,22300013,86,0,Opponent,1610612759,San Antonio Spurs,1,4,12,Made Shot,Turnaround Fadeaway shot,,Mid-Range,Left Side(L),8-16 ft.,11,-110,6,1,1,20231110,SAS,MIN,2230001386,|1626224|1629640|1630170|1631110
Shot Chart Detail,22300013,109,0,Opponent,1610612759,San Antonio Spurs,1,3,0,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,0,20231110,SAS,MIN,22300013109,|1626224|1629640|1629646|1630200|1631103
Shot Chart Detail,22300013,157,0,Opponent,1610612759,San Antonio Spurs,1,2,32,Missed Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-23,15,1,0,20231110,SAS,MIN,22300013157,|1626224|1629640|1629646|1630200|1631103
Shot Chart Detail,22300013,133,0,Opponent,1610612759,San Antonio Spurs,1,1,35,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,147,214,1,0,20231110,SAS,MIN,22300013133,|1626224|1629646|1630200|1631103|1641705
Shot Chart Detail,22300013,135,0,Opponent,1610612759,San Antonio Spurs,1,1,30,Missed Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20231110,SAS,MIN,22300013135,|1626224|1629646|1630200|1631103|1641705
Shot Chart Detail,22300013,143,0,Opponent,1610612759,San Antonio Spurs,1,0,52,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,188,179,1,0,20231110,SAS,MIN,22300013143,|1626224|1629646|1630200|1631103|1641705
