GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,37,1,0.027
League Averages,Above the Break 3,Center(C),24+ ft.,16293,5680,0.349
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,25386,9071,0.357
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,23362,8240,0.353
League Averages,Backcourt,Back Court(BC),Back Court Shot,499,12,0.024
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,12279,5579,0.454
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,25414,11129,0.438
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,2182,952,0.436
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,2384,1050,0.44
League Averages,Left Corner 3,Left Side(L),24+ ft.,11579,4458,0.385
League Averages,Mid-Range,Center(C),16-24 ft.,2664,1083,0.407
League Averages,Mid-Range,Center(C),8-16 ft.,1764,803,0.455
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,2645,1061,0.401
League Averages,Mid-Range,Left Side(L),16-24 ft.,1106,453,0.41
League Averages,Mid-Range,Left Side(L),8-16 ft.,4272,1813,0.424
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,2617,1016,0.388
League Averages,Mid-Range,Right Side(R),16-24 ft.,997,388,0.389
League Averages,Mid-Range,Right Side(R),8-16 ft.,4386,1920,0.438
League Averages,Restricted Area,Center(C),Less Than 8 ft.,58511,38802,0.663
League Averages,Right Corner 3,Right Side(R),24+ ft.,10843,4228,0.39
